Base de Datos de personas;;;;;
Fuente de Datos: Aleatorio;;;;;
Esto es Aleatorio de acuerdo a las reglas de protección de datos de las personas;;;;;
;;;;;
Id de la persona;Edad;Nombre;Latitud;Longitud;Distrito de procedencia
52;29;Persona 52;-12.06648734;-77.04314556;JESUS MARIA
53;22;Persona 53;-12.06173026;-77.02268901;LA VICTORIA
54;25;Persona 54;-12.08988953;-77.02040219;LA VICTORIA
55;19;Persona 55;-12.08709067;-77.06199217;JESUS MARIA
56;24;Persona 56;-12.0875012;-77.03883899;LINCE
57;35;Persona 57;-12.08340627;-77.05114729;JESUS MARIA
58;32;Persona 58;-12.0830676;-77.00654106;LA VICTORIA
59;38;Persona 59;-12.06677317;-77.0039415;LA VICTORIA
60;15;Persona 60;-12.07158086;-77.0675043;PUEBLO LIBRE
61;63;Persona 61;-12.0808668;-77.06141501;PUEBLO LIBRE
62;20;Persona 62;-12.07748799;-77.05422168;JESUS MARIA
63;37;Persona 63;-12.07945983;-77.04732895;JESUS MARIA
64;21;Persona 64;-12.076722;-77.04866561;JESUS MARIA
65;26;Persona 65;-12.06776636;-77.04446286;JESUS MARIA
66;50;Persona 66;-12.07010118;-77.04743386;JESUS MARIA
67;20;Persona 67;-12.08247167;-77.03498079;LINCE
68;22;Persona 68;-12.07081232;-77.04433373;JESUS MARIA
69;27;Persona 69;-12.07803553;-77.04684975;JESUS MARIA
70;37;Persona 70;-12.07574565;-77.05531188;PUEBLO LIBRE
71;40;Persona 71;-12.0839217;-77.0640703;PUEBLO LIBRE
72;24;Persona 72;-12.07349961;-77.02129114;LA VICTORIA
73;20;Persona 73;-12.0814305;-77.05506103;JESUS MARIA
74;21;Persona 74;-12.0844847;-77.0571716;JESUS MARIA
75;17;Persona 75;-12.06562823;-77.02945789;LA VICTORIA
76;21;Persona 76;-12.07955181;-77.06064533;PUEBLO LIBRE
77;22;Persona 77;-12.06931703;-77.04566101;JESUS MARIA
78;31;Persona 78;-12.07477292;-77.01817647;LA VICTORIA
79;57;Persona 79;-12.09045012;-77.05626356;JESUS MARIA
80;19;Persona 80;-12.06627132;-76.99794644;LA VICTORIA
81;19;Persona 81;-12.06801965;-77.06992111;PUEBLO LIBRE
82;24;Persona 82;-12.08600187;-77.06049034;JESUS MARIA
83;25;Persona 83;-12.07731213;-77.05590217;PUEBLO LIBRE
84;51;Persona 84;-12.08007345;-77.04065206;LINCE
85;23;Persona 85;-12.08496819;-77.05391624;JESUS MARIA
86;20;Persona 86;-12.08479003;-77.05613115;JESUS MARIA
87;28;Persona 87;-12.07910817;-77.04945869;JESUS MARIA
88;28;Persona 88;-12.07374246;-77.04457933;JESUS MARIA
89;35;Persona 89;-12.07288952;-77.05178433;JESUS MARIA
90;33;Persona 90;-12.08279838;-77.05990056;JESUS MARIA
91;22;Persona 91;-12.08937505;-77.04056659;LINCE
92;23;Persona 92;-12.07832699;-77.01839568;LA VICTORIA
93;47;Persona 93;-12.0849768;-77.0580971;JESUS MARIA
94;49;Persona 94;-12.07691324;-77.05477871;JESUS MARIA
95;50;Persona 95;-12.06858445;-77.05973455;PUEBLO LIBRE
96;24;Persona 96;-12.07222763;-77.04766294;JESUS MARIA
97;26;Persona 97;-12.08657535;-77.05464898;JESUS MARIA
98;20;Persona 98;-12.07534587;-77.0422545;JESUS MARIA
99;16;Persona 99;-12.08975606;-77.05287781;JESUS MARIA
100;13;Persona 100;-12.08178375;-77.04879811;JESUS MARIA
101;11;Persona 101;-12.08104485;-77.04830661;JESUS MARIA
102;27;Persona 102;-12.06656062;-77.01926601;LA VICTORIA
103;23;Persona 103;-12.07584753;-77.07860187;PUEBLO LIBRE
104;11;Persona 104;-12.07546046;-77.01874669;LA VICTORIA
105;24;Persona 105;-12.06440744;-77.04992353;BREÑA
106;60;Persona 106;-12.08453094;-77.0582954;JESUS MARIA
107;24;Persona 107;-12.07145624;-77.01410963;LA VICTORIA
108;19;Persona 108;-12.08404303;-77.03085628;LINCE
109;23;Persona 109;-12.08422771;-77.04088536;LINCE
110;21;Persona 110;-12.07859045;-77.07253422;PUEBLO LIBRE
111;24;Persona 111;-12.067937;-77.00208773;LA VICTORIA
112;29;Persona 112;-12.08204062;-77.05558502;JESUS MARIA
113;21;Persona 113;-12.08215309;-77.03021911;LINCE
114;40;Persona 114;-12.08558975;-77.05281113;JESUS MARIA
115;37;Persona 115;-12.07912874;-77.03875385;LINCE
116;40;Persona 116;-12.0740199;-77.0764645;PUEBLO LIBRE
117;20;Persona 117;-12.0784695;-77.01708166;LA VICTORIA
118;16;Persona 118;-12.08310397;-77.0557724;JESUS MARIA
119;37;Persona 119;-12.08806592;-77.04219158;LINCE
120;10;Persona 120;-12.07502802;-77.01869758;LA VICTORIA
121;19;Persona 121;-12.08648656;-77.052501;JESUS MARIA
122;26;Persona 122;-12.08305355;-77.04975252;JESUS MARIA
123;55;Persona 123;-12.08490911;-77.0482608;LINCE
124;22;Persona 124;-12.07473118;-77.05544973;PUEBLO LIBRE
125;26;Persona 125;-12.06018805;-77.05795312;BREÑA
126;34;Persona 126;-12.06805222;-77.02773488;LA VICTORIA
127;14;Persona 127;-12.07732181;-77.04742638;JESUS MARIA
128;20;Persona 128;-12.06667935;-77.04174304;JESUS MARIA
129;37;Persona 129;-12.0800488;-77.04008073;LINCE
130;39;Persona 130;-12.08434717;-77.0491955;JESUS MARIA
131;40;Persona 131;-12.08439597;-77.05441672;JESUS MARIA
132;9;Persona 132;-12.07022536;-77.04040759;JESUS MARIA
133;25;Persona 133;-12.08606193;-77.05215892;JESUS MARIA
134;45;Persona 134;-12.07889772;-77.04598561;JESUS MARIA
135;38;Persona 135;-12.08114221;-77.02595604;LA VICTORIA
136;5;Persona 136;-12.08588625;-77.05994384;JESUS MARIA
137;48;Persona 137;-12.07984033;-77.04283778;JESUS MARIA
138;37;Persona 138;-12.08008204;-77.04919053;JESUS MARIA
139;22;Persona 139;-12.07853385;-77.04609595;JESUS MARIA
140;16;Persona 140;-12.08198897;-77.0530972;JESUS MARIA
141;62;Persona 141;-12.06628749;-77.04514992;JESUS MARIA
142;25;Persona 142;-12.08219573;-77.02194358;LA VICTORIA
143;34;Persona 143;-12.07880546;-77.04645735;JESUS MARIA
144;56;Persona 144;-12.07756061;-77.04352775;JESUS MARIA
145;26;Persona 145;-12.06307764;-77.02093277;LA VICTORIA
146;26;Persona 146;-12.07656402;-77.0612149;PUEBLO LIBRE
147;37;Persona 147;-12.08091551;-77.04388764;JESUS MARIA
148;37;Persona 148;-12.07722277;-77.03840217;LINCE
149;39;Persona 149;-12.05446835;-77.05019193;BREÑA
150;20;Persona 150;-12.08355758;-77.05453594;JESUS MARIA
151;9;Persona 151;-12.0759932;-77.05241996;JESUS MARIA
152;34;Persona 152;-12.07957175;-77.02137942;LA VICTORIA
153;42;Persona 153;-12.07435499;-77.0447069;JESUS MARIA
154;38;Persona 154;-12.07822813;-77.04339014;JESUS MARIA
155;55;Persona 155;-12.085048;-77.06785783;PUEBLO LIBRE
156;40;Persona 156;-12.07861716;-77.07748215;PUEBLO LIBRE
157;33;Persona 157;-12.05345935;-77.05517646;BREÑA
158;47;Persona 158;-12.06882918;-77.04570539;JESUS MARIA
159;45;Persona 159;-12.0853978;-77.02190474;LA VICTORIA
160;32;Persona 160;-12.07056221;-77.04583633;JESUS MARIA
161;55;Persona 161;-12.06845405;-77.04542882;JESUS MARIA
162;42;Persona 162;-12.07914905;-77.04531101;JESUS MARIA
163;43;Persona 163;-12.0769104;-77.02556903;LA VICTORIA
164;58;Persona 164;-12.07754266;-77.05578108;PUEBLO LIBRE
165;40;Persona 165;-12.08149012;-77.05583091;JESUS MARIA
166;42;Persona 166;-12.07697837;-77.05161037;JESUS MARIA
167;32;Persona 167;-12.07604143;-77.06103044;PUEBLO LIBRE
168;6;Persona 168;-12.06484497;-77.02772091;LA VICTORIA
169;32;Persona 169;-12.06308415;-77.05333747;BREÑA
170;79;Persona 170;-12.07829585;-77.05472961;JESUS MARIA
171;38;Persona 171;-12.06890548;-77.04621591;JESUS MARIA
172;80;Persona 172;-12.07481994;-77.07363869;PUEBLO LIBRE
173;33;Persona 173;-12.08170235;-77.0527634;JESUS MARIA
174;36;Persona 174;-12.08580497;-77.05816755;JESUS MARIA
175;37;Persona 175;-12.08073068;-77.03427212;LINCE
176;19;Persona 176;-12.08087233;-77.02378232;LA VICTORIA
177;16;Persona 177;-12.08238472;-77.04597388;JESUS MARIA
178;26;Persona 178;-12.0837161;-77.01834261;LA VICTORIA
179;44;Persona 179;-12.0843025;-77.03037806;LINCE
180;67;Persona 180;-12.08136681;-77.04839873;JESUS MARIA
181;34;Persona 181;-12.07020305;-77.04643715;JESUS MARIA
182;46;Persona 182;-12.07846211;-77.04802987;JESUS MARIA
183;27;Persona 183;-12.08578274;-77.01616539;LA VICTORIA
184;32;Persona 184;-12.09135568;-77.05429597;JESUS MARIA
185;34;Persona 185;-12.06849395;-77.05398525;PUEBLO LIBRE
186;30;Persona 186;-12.08241594;-77.04362114;JESUS MARIA
187;39;Persona 187;-12.06924134;-77.00467708;LA VICTORIA
188;32;Persona 188;-12.0662678;-77.04568;JESUS MARIA
189;30;Persona 189;-12.08336348;-77.04895817;JESUS MARIA
190;35;Persona 190;-12.0844757;-77.04933149;JESUS MARIA
191;22;Persona 191;-12.08089608;-77.04782888;JESUS MARIA
192;51;Persona 192;-12.08553031;-77.05257018;JESUS MARIA
193;21;Persona 193;-12.06230458;-77.04737032;BREÑA
194;82;Persona 194;-12.07555579;-77.04326718;JESUS MARIA
195;12;Persona 195;-12.07734907;-77.05301411;JESUS MARIA
196;34;Persona 196;-12.08501072;-77.04043135;LINCE
197;47;Persona 197;-12.07619238;-77.0480163;JESUS MARIA
198;14;Persona 198;-12.07292501;-77.0510979;JESUS MARIA
199;40;Persona 199;-12.08304487;-77.04766821;JESUS MARIA
200;23;Persona 200;-12.05810594;-77.05197387;BREÑA
201;33;Persona 201;-12.07492058;-77.06935;PUEBLO LIBRE
202;33;Persona 202;-12.08613445;-77.05244082;JESUS MARIA
203;41;Persona 203;-12.07775575;-77.02736411;LA VICTORIA
204;39;Persona 204;-12.08322069;-77.0484899;JESUS MARIA
205;40;Persona 205;-12.08449355;-77.04346582;LINCE
206;41;Persona 206;-12.06385076;-77.05331594;BREÑA
207;33;Persona 207;-12.08806108;-77.05533317;JESUS MARIA
208;34;Persona 208;-12.0702339;-77.04010456;LINCE
209;40;Persona 209;-12.05495737;-77.05448797;BREÑA
210;55;Persona 210;-12.08050149;-77.0504085;JESUS MARIA
211;19;Persona 211;-12.07230951;-77.04317797;JESUS MARIA
212;12;Persona 212;-12.08663668;-77.05246952;JESUS MARIA
213;25;Persona 213;-12.07412995;-77.04345692;JESUS MARIA
214;45;Persona 214;-12.08903761;-77.04478887;LINCE
215;34;Persona 215;-12.0847765;-77.05195541;JESUS MARIA
216;32;Persona 216;-12.05861113;-77.05023299;BREÑA
217;38;Persona 217;-12.06893301;-77.04535407;JESUS MARIA
218;17;Persona 218;-12.07810983;-77.08085904;PUEBLO LIBRE
219;34;Persona 219;-12.08400095;-77.05688004;JESUS MARIA
220;32;Persona 220;-12.08455788;-77.04392468;LINCE
221;33;Persona 221;-12.07525571;-77.04214246;JESUS MARIA
222;11;Persona 222;-12.05542643;-77.05728542;BREÑA
223;41;Persona 223;-12.06523481;-77.03957688;JESUS MARIA
224;32;Persona 224;-12.08000786;-77.04414058;JESUS MARIA
225;33;Persona 225;-12.09015909;-77.0235012;LINCE
226;32;Persona 226;-12.08575475;-77.05140523;JESUS MARIA
227;14;Persona 227;-12.08603165;-77.05765893;JESUS MARIA
228;26;Persona 228;-12.06842618;-77.04174526;JESUS MARIA
229;28;Persona 229;-12.08272375;-77.04870641;JESUS MARIA
230;34;Persona 230;-12.08078026;-77.04555748;JESUS MARIA
231;39;Persona 231;-12.07644728;-77.05132552;JESUS MARIA
232;25;Persona 232;-12.07366492;-77.02684467;LA VICTORIA
233;16;Persona 233;-12.06638059;-76.99802424;LA VICTORIA
234;11;Persona 234;-12.0825944;-77.04190141;LINCE
235;23;Persona 235;-12.08446474;-77.05990162;JESUS MARIA
236;35;Persona 236;-12.08582583;-77.05892132;JESUS MARIA
237;23;Persona 237;-12.08720582;-77.01343819;LA VICTORIA
238;36;Persona 238;-12.07222742;-77.03953835;LINCE
239;62;Persona 239;-12.07576037;-77.04510363;JESUS MARIA
240;61;Persona 240;-12.084824;-77.06389464;PUEBLO LIBRE
241;49;Persona 241;-12.08164115;-77.02698181;LINCE
242;33;Persona 242;-12.06928163;-77.02316324;LA VICTORIA
243;38;Persona 243;-12.08625188;-77.0101346;LA VICTORIA
244;31;Persona 244;-12.08184529;-77.0548945;JESUS MARIA
245;48;Persona 245;-12.08297957;-77.05567232;JESUS MARIA
246;38;Persona 246;-12.08748223;-77.05177266;JESUS MARIA
247;62;Persona 247;-12.08013233;-77.04887024;JESUS MARIA
248;23;Persona 248;-12.07819445;-77.02512481;LA VICTORIA
249;33;Persona 249;-12.07077335;-77.02783897;LA VICTORIA
250;33;Persona 250;-12.08153317;-77.00747541;LA VICTORIA
251;17;Persona 251;-12.07887412;-77.04576706;JESUS MARIA
252;48;Persona 252;-12.07297011;-77.01420515;LA VICTORIA
253;50;Persona 253;-12.08374333;-77.05929877;JESUS MARIA
254;25;Persona 254;-12.06989091;-77.03073981;LA VICTORIA
255;24;Persona 255;-12.06865059;-77.05810126;PUEBLO LIBRE
256;54;Persona 256;-12.07996868;-77.04671838;JESUS MARIA
257;33;Persona 257;-12.06606785;-77.00077697;LA VICTORIA
258;48;Persona 258;-12.07782002;-77.04631174;JESUS MARIA
259;1;Persona 259;-12.06338707;-77.05731341;BREÑA
260;19;Persona 260;-12.05107316;-77.0440071;BREÑA
261;12;Persona 261;-12.08735731;-77.0503707;JESUS MARIA
262;5;Persona 262;-12.07542676;-77.04635633;JESUS MARIA
263;34;Persona 263;-12.07172237;-77.05746459;PUEBLO LIBRE
264;51;Persona 264;-12.0836654;-77.05452322;JESUS MARIA
265;32;Persona 265;-12.0781149;-77.04521184;JESUS MARIA
266;44;Persona 266;-12.07706401;-77.07073625;PUEBLO LIBRE
267;36;Persona 267;-12.08764102;-77.05601315;JESUS MARIA
268;31;Persona 268;-12.07343093;-77.02745057;LA VICTORIA
269;31;Persona 269;-12.07744639;-77.05008629;JESUS MARIA
270;38;Persona 270;-12.08879871;-77.05663905;JESUS MARIA
271;31;Persona 271;-12.0837531;-77.0442693;LINCE
272;31;Persona 272;-12.07717458;-77.07745113;PUEBLO LIBRE
273;37;Persona 273;-12.07407366;-77.06755329;PUEBLO LIBRE
274;31;Persona 274;-12.07053571;-77.03881066;LINCE
275;42;Persona 275;-12.07539681;-77.04285528;JESUS MARIA
276;38;Persona 276;-12.06657775;-77.03932771;JESUS MARIA
277;27;Persona 277;-12.07120257;-77.04440096;JESUS MARIA
278;54;Persona 278;-12.0658754;-77.04290064;JESUS MARIA
279;34;Persona 279;-12.07373446;-77.06334184;PUEBLO LIBRE
280;10;Persona 280;-12.06069382;-77.04910337;BREÑA
281;22;Persona 281;-12.06558707;-77.02409928;LA VICTORIA
282;36;Persona 282;-12.06792986;-77.04188068;JESUS MARIA
283;28;Persona 283;-12.06670284;-77.03177;LA VICTORIA
284;32;Persona 284;-12.09039626;-77.04754412;LINCE
285;54;Persona 285;-12.08816629;-77.05671749;JESUS MARIA
286;41;Persona 286;-12.07963927;-77.02088296;LA VICTORIA
287;31;Persona 287;-12.08640773;-77.06029587;JESUS MARIA
288;56;Persona 288;-12.08045713;-77.02591553;LA VICTORIA
289;28;Persona 289;-12.08337342;-77.05613408;JESUS MARIA
290;39;Persona 290;-12.08010834;-77.03766843;LINCE
291;0;Persona 291;-12.06941223;-77.00650131;LA VICTORIA
292;20;Persona 292;-12.08927267;-77.04320664;LINCE
293;43;Persona 293;-12.07022288;-77.04449619;JESUS MARIA
294;20;Persona 294;-12.08732335;-77.03553267;LINCE
295;22;Persona 295;-12.07596203;-77.04748467;JESUS MARIA
296;38;Persona 296;-12.07782041;-77.04907443;JESUS MARIA
297;38;Persona 297;-12.07405771;-77.04454858;JESUS MARIA
298;38;Persona 298;-12.07016173;-77.05716533;PUEBLO LIBRE
299;68;Persona 299;-12.08356756;-77.03001362;LINCE
300;42;Persona 300;-12.06885367;-77.05502237;PUEBLO LIBRE
301;37;Persona 301;-12.0798195;-77.05240662;JESUS MARIA
302;34;Persona 302;-12.07914743;-77.01033182;LA VICTORIA
303;78;Persona 303;-12.08259529;-77.05384719;JESUS MARIA
304;35;Persona 304;-12.05991588;-77.02457455;LA VICTORIA
305;26;Persona 305;-12.082572;-77.05475537;JESUS MARIA
306;28;Persona 306;-12.07753082;-77.04712139;JESUS MARIA
307;38;Persona 307;-12.07766258;-77.05276117;JESUS MARIA
308;42;Persona 308;-12.07125266;-77.06575417;PUEBLO LIBRE
309;26;Persona 309;-12.08313432;-77.03247367;LINCE
310;47;Persona 310;-12.06553951;-77.0524811;BREÑA
311;37;Persona 311;-12.08067184;-77.00991209;LA VICTORIA
312;32;Persona 312;-12.06897952;-77.04054698;JESUS MARIA
313;8;Persona 313;-12.08845993;-77.05999392;JESUS MARIA
314;33;Persona 314;-12.06617281;-77.02861719;LA VICTORIA
315;41;Persona 315;-12.08098132;-77.04011103;LINCE
316;33;Persona 316;-12.07864312;-77.05230414;JESUS MARIA
317;43;Persona 317;-12.05978323;-77.02196301;LA VICTORIA
318;35;Persona 318;-12.08831603;-77.05804498;JESUS MARIA
319;17;Persona 319;-12.08406752;-77.00493526;LA VICTORIA
320;37;Persona 320;-12.07910879;-77.05162311;JESUS MARIA
321;61;Persona 321;-12.07552681;-77.04539402;JESUS MARIA
322;18;Persona 322;-12.07651348;-77.05315354;JESUS MARIA
323;31;Persona 323;-12.08429525;-77.05007563;JESUS MARIA
324;35;Persona 324;-12.07683912;-77.04871165;JESUS MARIA
325;36;Persona 325;-12.07039178;-77.04385204;JESUS MARIA
326;33;Persona 326;-12.06549428;-77.03969858;JESUS MARIA
327;39;Persona 327;-12.06947018;-77.04360288;JESUS MARIA
328;7;Persona 328;-12.06428898;-77.01737162;LA VICTORIA
329;74;Persona 329;-12.08607088;-77.05342005;JESUS MARIA
330;39;Persona 330;-12.09076948;-77.04567831;LINCE
331;33;Persona 331;-12.06982823;-77.00428732;LA VICTORIA
332;32;Persona 332;-12.06934647;-77.04609586;JESUS MARIA
333;39;Persona 333;-12.07842767;-77.05499249;JESUS MARIA
334;32;Persona 334;-12.08228449;-77.02015691;LA VICTORIA
335;36;Persona 335;-12.08528734;-77.06006064;JESUS MARIA
336;26;Persona 336;-12.07688675;-77.05138149;JESUS MARIA
337;41;Persona 337;-12.06565838;-77.00586711;LA VICTORIA
338;6;Persona 338;-12.06038912;-77.02737876;LA VICTORIA
339;40;Persona 339;-12.07667063;-77.04634049;JESUS MARIA
340;40;Persona 340;-12.06624463;-77.05805634;BREÑA
341;26;Persona 341;-12.08622318;-77.05225878;JESUS MARIA
342;35;Persona 342;-12.07658426;-77.05257843;JESUS MARIA
343;37;Persona 343;-12.06967682;-77.03012658;LA VICTORIA
344;56;Persona 344;-12.0882233;-77.05122069;JESUS MARIA
345;32;Persona 345;-12.07206387;-77.0448219;JESUS MARIA
346;4;Persona 346;-12.06923502;-77.07413443;PUEBLO LIBRE
347;37;Persona 347;-12.05255083;-77.05031187;BREÑA
348;36;Persona 348;-12.07483447;-77.04856768;JESUS MARIA
349;30;Persona 349;-12.06812958;-77.00480314;LA VICTORIA
350;36;Persona 350;-12.08444664;-77.05185509;JESUS MARIA
351;21;Persona 351;-12.0661906;-77.01139285;LA VICTORIA
352;33;Persona 352;-12.06760638;-77.04467611;JESUS MARIA
353;33;Persona 353;-12.08210783;-77.04835373;JESUS MARIA
354;38;Persona 354;-12.08191759;-77.05403946;JESUS MARIA
355;35;Persona 355;-12.06952115;-77.0193155;LA VICTORIA
356;32;Persona 356;-12.08236023;-77.07116915;PUEBLO LIBRE
357;30;Persona 357;-12.080836;-77.03481971;LINCE
358;64;Persona 358;-12.08710002;-77.01673017;LA VICTORIA
359;33;Persona 359;-12.07276072;-77.04418108;JESUS MARIA
360;34;Persona 360;-12.07525049;-77.04537531;JESUS MARIA
361;41;Persona 361;-12.08024962;-77.0452849;JESUS MARIA
362;34;Persona 362;-12.08250114;-77.05505604;JESUS MARIA
363;32;Persona 363;-12.07901869;-77.05346525;JESUS MARIA
364;50;Persona 364;-12.07366072;-77.04918567;JESUS MARIA
365;31;Persona 365;-12.07017657;-77.07119299;PUEBLO LIBRE
366;18;Persona 366;-12.06567733;-77.0017663;LA VICTORIA
367;42;Persona 367;-12.07722537;-77.04666315;JESUS MARIA
368;32;Persona 368;-12.08867991;-77.03139569;LINCE
369;19;Persona 369;-12.08441066;-77.03017972;LINCE
370;14;Persona 370;-12.08038129;-77.06464613;PUEBLO LIBRE
371;54;Persona 371;-12.08653628;-77.05002716;JESUS MARIA
372;36;Persona 372;-12.07468117;-77.06336157;PUEBLO LIBRE
373;5;Persona 373;-12.0824346;-77.03490797;LINCE
374;43;Persona 374;-12.06287709;-77.03126421;LA VICTORIA
375;33;Persona 375;-12.0734605;-77.04368961;JESUS MARIA
376;32;Persona 376;-12.08309654;-77.0502601;JESUS MARIA
377;29;Persona 377;-12.07702877;-77.02506003;LA VICTORIA
378;33;Persona 378;-12.06848323;-77.06715736;PUEBLO LIBRE
379;32;Persona 379;-12.07974221;-77.05617542;JESUS MARIA
380;31;Persona 380;-12.07350523;-77.04486546;JESUS MARIA
381;31;Persona 381;-12.08480282;-77.06083355;JESUS MARIA
382;7;Persona 382;-12.06699436;-77.01977642;LA VICTORIA
383;42;Persona 383;-12.06878966;-77.04660671;JESUS MARIA
384;29;Persona 384;-12.08105372;-77.04610585;JESUS MARIA
385;34;Persona 385;-12.06232378;-77.01817392;LA VICTORIA
386;60;Persona 386;-12.08538422;-77.04912299;JESUS MARIA
387;55;Persona 387;-12.06511914;-77.04312334;JESUS MARIA
388;36;Persona 388;-12.05763664;-77.04568042;BREÑA
389;61;Persona 389;-12.08325277;-77.05170889;JESUS MARIA
390;65;Persona 390;-12.08166283;-77.06108961;PUEBLO LIBRE
391;12;Persona 391;-12.07262177;-77.0416603;JESUS MARIA
392;34;Persona 392;-12.08480088;-77.06478176;PUEBLO LIBRE
393;84;Persona 393;-12.07562975;-77.0424009;JESUS MARIA
394;37;Persona 394;-12.08234997;-77.05849799;JESUS MARIA
395;31;Persona 395;-12.08152182;-77.0590792;PUEBLO LIBRE
396;19;Persona 396;-12.07484046;-77.04982647;JESUS MARIA
397;42;Persona 397;-12.07642502;-77.04694301;JESUS MARIA
398;36;Persona 398;-12.08184892;-77.04194103;JESUS MARIA
399;20;Persona 399;-12.09070965;-77.05419677;JESUS MARIA
400;33;Persona 400;-12.06306858;-77.05446154;BREÑA
401;44;Persona 401;-12.0785282;-77.05114797;JESUS MARIA
402;30;Persona 402;-12.07131642;-77.04939329;JESUS MARIA
403;43;Persona 403;-12.07071417;-77.04668441;JESUS MARIA
404;41;Persona 404;-12.07953358;-77.05562047;JESUS MARIA
405;31;Persona 405;-12.06901955;-77.0417123;JESUS MARIA
406;33;Persona 406;-12.07168683;-77.04255186;JESUS MARIA
407;19;Persona 407;-12.08677493;-77.02207195;LA VICTORIA
408;32;Persona 408;-12.08004658;-77.05482761;JESUS MARIA
409;41;Persona 409;-12.08389991;-77.05319038;JESUS MARIA
410;20;Persona 410;-12.08550174;-77.05746591;JESUS MARIA
411;25;Persona 411;-12.08570917;-77.05274986;JESUS MARIA
412;17;Persona 412;-12.0755929;-77.04732994;JESUS MARIA
413;43;Persona 413;-12.08535348;-77.05137911;JESUS MARIA
414;41;Persona 414;-12.08258657;-77.05289532;JESUS MARIA
415;32;Persona 415;-12.06979768;-77.0614944;PUEBLO LIBRE
416;25;Persona 416;-12.08672325;-77.02198623;LA VICTORIA
417;41;Persona 417;-12.0841657;-77.05896763;JESUS MARIA
418;29;Persona 418;-12.09230563;-77.05400682;JESUS MARIA
419;28;Persona 419;-12.06973076;-77.05147815;PUEBLO LIBRE
